Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
356-U1463D-28H-CC-A,0,20,256.1,256.3,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,,,slight [B06],2,,,"Unlithified, light greenish grey wackesone.",,,,356,U1463,D,28,H,CC,A,,,
356-U1463D-29H-1-A,0,82,255.9,256.72,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,grayish green,foraminifera (small benthic),,pyrite (disseminated),,slight [B06],2,bioturbated,sub-horizontal,"Unlithified, homogeneous grayish green wackestone with fine sand size grains and disseminated pyrites. It contains unidentified bioclasts.",,,,356,U1463,D,29,H,1,A,,,
356-U1463D-29H-1-A,82,89,256.72,256.79,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,dark gray,foraminifera (small benthic),,pyrite (disseminated),,,,sharp,horizontal,"Unlithified, homogeneous grayish green wackestone with fine sand size grains and disseminated pyrites. It contains unidentified bioclasts.",,,,356,U1463,D,29,H,1,A,,,
356-U1463D-29H-1-A,89,150,256.79,257.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,grayish green,foraminifera (small benthic),,pyrite (disseminated),,slight [B06],2,,,"Unlithified, homogeneous grayish green wackestone with fine sand size grains and disseminated pyrites. It contains unidentified bioclasts.",,,,356,U1463,D,29,H,1,A,,,
356-U1463D-29H-2-A,0,150,257.4,258.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,grayish green,foraminifera (small benthic),,pyrite (disseminated),,slight [B06],2,,,"Unlithified, homogeneous grayish green wackestone with vfs to fs size grains. It contains unidentified bioclasts and small benthic foraminifers.",,,,356,U1463,D,29,H,2,A,,,
356-U1463D-29H-3-A,0,150,258.9,260.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,grayish green,foraminifera (small benthic),,pyrite (disseminated),,slight [B06],2,,,"Unidentified, homogeneous grayish green wackestoe with vfs to fs size grains. It contains disseminted pyrite patche.",,,,356,U1463,D,29,H,3,A,,,
356-U1463D-29H-4-A,0,99,260.4,261.39,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,grayish green,foraminifera (small benthic),,pyrite (disseminated),,slight [B06],2,bioturbated,sub-horizontal,"Unidentified, mixed bed of wackestone and packstone, wacketone rich.",,,,356,U1463,D,29,H,4,A,,,
356-U1463D-29H-4-A,99,150,261.39,261.9,partially lithified,,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Ulithified, homogeneous mudstone with disseminated pyrite patches.",,,,356,U1463,D,29,H,4,A,,,
356-U1463D-29H-5-A,0,90,261.9,262.8,partially lithified,,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,bioturbated,sub-horizontal,"Unlithified, homogeneous dark grayish green mudstone. It contains wackestone patches frequently. Slight bioturbation.",,,,356,U1463,D,29,H,5,A,,,
356-U1463D-29H-5-A,90,150,262.8,263.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, homogeneous dark grayish green mudstone. It contains wackestone patches frequently. Slight bioturbation.",,,,356,U1463,D,29,H,5,A,,,
356-U1463D-29H-6-A,0,143,263.4,264.83,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, dark grayish green wackestone with homogeneous mudstone patches. The bed contains disseminated pyrite patches and unidentified bioclasts.",,,,356,U1463,D,29,H,6,A,,,
356-U1463D-30H-1-A,0,33,265.4,265.73,partially lithified,,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,bioturbated,sub-horizontal,Partially lithified homogeneous mudstone with vfs size grains.,,,,356,U1463,D,30,H,1,A,,,
356-U1463D-30H-1-A,33,150,265.73,266.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,grayish green,foraminifera (small benthic),,pyrite (disseminated),,,,,,"Unlithified, wackestone with mudstone patches. Sparse forams.",,,,356,U1463,D,30,H,1,A,,,
356-U1463D-30H-2-A,0,65,266.9,267.55,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, dark grayish green wackestone with homogeneous mudstone patches. The bed contains disseminated pyrite patches and unidentified bioclasts.",,,,356,U1463,D,30,H,2,A,,,
356-U1463D-30H-2-A,65,150,267.55,268.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, wackestone with mudstone patches. Sparse forams.",,,,356,U1463,D,30,H,2,A,,,
356-U1463D-30H-3-A,0,57,268.4,268.97,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, dark grayish green wackestone with homogeneous mudstone patches. The bed contains disseminated pyrite patches and unidentified bioclasts.",,,,356,U1463,D,30,H,3,A,,,
356-U1463D-30H-3-A,57,150,268.97,269.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, wackestone with mudstone patches. Sparse forams.",,,,356,U1463,D,30,H,3,A,,,
356-U1463D-30H-4-A,0,145,269.9,271.35,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, wackestone with mudstone patches. Sparse forams.",,,,356,U1463,D,30,H,4,A,,,
356-U1463D-31H-1-A,0,150,274.9,276.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, dark grayish green homogeneous mudstone. Sparce forams and common disseminated pyrite patches.",,,,356,U1463,D,31,H,1,A,,,
356-U1463D-31H-2-A,0,150,276.4,277.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, dark grayish green homogeneous mudstone. Sparce forams and common disseminated pyrite patches.",,,,356,U1463,D,31,H,2,A,,,
356-U1463D-31H-3-A,0,88,277.9,278.78,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, dark grayish green homogeneous mudstone. Sparce forams and common disseminated pyrite patches.",,,,356,U1463,D,31,H,3,A,,,
356-U1463D-31H-4-A,0,66,278.78,279.44,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, dark grayish green homogeneous mudstone. Sparce forams and common disseminated pyrite patches.",,,,356,U1463,D,31,H,4,A,,,
356-U1463D-31H-CC-A,0,12,279.44,279.56,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,,,,,,,"Unlithified, dark grayish green homogeneous mudstone.",,,,356,U1463,D,31,H,CC,A,,,
356-U1463D-32H-1-A,0,150,284.4,285.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, dark grayish green mudstone with disseminated pyrite patches.",,,,356,U1463,D,32,H,1,A,,,
356-U1463D-32H-2-A,0,150,285.9,287.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, dark grayish green mudstone with disseminated pyrite patches. Sparse forams.",,,,356,U1463,D,32,H,2,A,,,
356-U1463D-32H-3-A,0,101,287.4,288.41,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark grayish green,foraminifera (small benthic),,pyrite (disseminated),,slight [B06],2,,,"Unlithified, grayish green mudstone with disseminated pyrite patches. It contains small benthic foraminifera rich patches and thin layers sporadically.",,,,356,U1463,D,32,H,3,A,,,
356-U1463D-33F-1-A,0,150,288.4,289.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light greenish gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, homogeneous mudstone with disseminated pyrite patches.",,,,356,U1463,D,33,F,1,A,,,
356-U1463D-33F-2-A,0,150,289.9,291.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light greenish gray,bivalve,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, homogeneous mudstone with disseminated pyrite patches. Bivalve fragment occurs at 102 cm depth.",,,,356,U1463,D,33,F,2,A,,,
356-U1463D-33F-3-A,0,81,291.4,292.21,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light greenish gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, homogeneous mudstone with disseminated pyrite patches.",,,,356,U1463,D,33,F,3,A,,,
356-U1463D-34F-1-A,0,150,293.1,294.6,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,,,,,"Unlithified, greenish gray homogeneous mudstone. Pyrite, coarse sand grains and forams concentrated in burrows",,,,356,U1463,D,34,F,1,A,,,
356-U1463D-34F-2-A,0,150,294.6,296.1,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,,,,,"Unlithified, olive gray homogeneous mudstone. Pyrite, forams in burrows. A 2 cm long bivalve fragment. Few sand size shell fragments. Sparse small benthic forams in matrix",,,,356,U1463,D,34,F,2,A,,,
356-U1463D-34F-3-A,0,136,296.1,297.46,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray homogeneous mudstone. Slight bioturbation. Sparse pyrite disseminated in matrix and concentrated in burrows. Sparse sand size shell fragments and benthic forams",,,,356,U1463,D,34,F,3,A,,,
356-U1463D-35F-1-A,0,150,297.8,299.3,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Slight bioturbation. Sparse pyrite disseminated but mainly in burrows. Sparse sand size shell (bivalve) fragments and benthic foraminifers",,,,356,U1463,D,35,F,1,A,,,
356-U1463D-35F-2-A,0,130,299.3,300.6,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. A sea urchin spine. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,35,F,2,A,,,
356-U1463D-35F-3-A,0,76,300.6,301.36,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but sparse mainly concentrated in burrows.Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,35,F,3,A,,,
356-U1463D-36F-1-A,0,150,301.3,302.8,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows.Sparse disseminated sand size shell fragments and small benthic forams in burrows",,,,356,U1463,D,36,F,1,A,,,
356-U1463D-36F-2-A,0,150,302.8,304.3,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. . Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,36,F,2,A,,,
356-U1463D-36F-3-A,0,88,304.3,305.18,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments",,,,356,U1463,D,36,F,3,A,,,
356-U1463D-37F-1-A,0,29,305.1,305.39,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light grayish green,,,,,,,,,Unlithified light grayish gray mudstone,,,,356,U1463,D,37,F,1,A,,,
356-U1463D-37F-1-A,29,150,305.39,306.6,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Moderate bioturbatione. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams in burrows. A 2 cm long nodule",,,,356,U1463,D,37,F,1,A,,,
356-U1463D-37F-2-A,0,150,306.6,308.1,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows.Sparse disseminated sand size shell fragments and small benthic forams. Forams in burrows also one tube and a bryozoan",,,,356,U1463,D,37,F,2,A,,,
356-U1463D-37F-3-A,0,117,308.1,309.27,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,37,F,3,A,,,
356-U1463D-37F-CC-A,0,9,309.27,309.36,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,,,,,"Unlithified, olive gray, homogeneous mudstone.",,,,356,U1463,D,37,F,CC,A,,,
356-U1463D-38F-1-A,0,150,309.3,310.8,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams. Pyrite nodule",,,,356,U1463,D,38,F,1,A,,,
356-U1463D-38F-1-A,0,150,309.3,310.8,,,,,,,,,,,pyrite nodule,,,,,,,,,,356,U1463,D,38,F,1,A,,,
356-U1463D-38F-2-A,0,150,310.8,312.3,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams. Carbonate material in burrows",,,,356,U1463,D,38,F,2,A,,,
356-U1463D-38F-3-A,0,46,312.3,312.76,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments",,,,356,U1463,D,38,F,3,A,,,
356-U1463D-38F-3-A,0,46,312.3,312.76,,,,,,,,,,,pyrite nodule,,,,,,,,,,356,U1463,D,38,F,3,A,,,
356-U1463D-39F-1-A,0,150,312.7,314.2,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,39,F,1,A,,,
356-U1463D-39F-2-A,0,121,314.2,315.41,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments. Pyrite nodules",,,,356,U1463,D,39,F,2,A,,,
356-U1463D-39F-2-A,0,121,314.2,315.41,,,,,,,,,,,pyrite nodule,,,,,,,,,,356,U1463,D,39,F,2,A,,,
356-U1463D-39F-3-A,0,73,315.41,316.14,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows.Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,39,F,3,A,,,
356-U1463D-39F-CC-A,0,26,316.14,316.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and one small benthic forams",,,,356,U1463,D,39,F,CC,A,,,
356-U1463D-40F-1-A,0,150,316.4,317.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and one small benthic forams",,,,356,U1463,D,40,F,1,A,,,
356-U1463D-40F-2-A,0,150,317.9,319.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams. Pyrite nodule in burrow",,,,356,U1463,D,40,F,2,A,,,
356-U1463D-40F-2-A,0,150,317.9,319.4,,,,,,,,,,,pyrite nodule,,,,,,,,,,356,U1463,D,40,F,2,A,,,
356-U1463D-40F-3-A,0,55,319.4,319.95,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and one small benthic forams. Pyrite nodule",,,,356,U1463,D,40,F,3,A,,,
356-U1463D-40F-3-A,0,55,319.4,319.95,,,,,,,,,,,pyrite nodule,,,,,,,,,,356,U1463,D,40,F,3,A,,,
356-U1463D-40F-3-A,55,57,319.95,319.97,,,,,,,,,,,,,,,,,void,,,,356,U1463,D,40,F,3,A,,,
356-U1463D-40F-4-A,0,25,319.97,320.22,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. ASparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,40,F,4,A,,,
356-U1463D-41F-1-A,0,151,320.2,321.71,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,41,F,1,A,,,
356-U1463D-41F-2-A,0,150,321.71,323.21,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams. Moderate bioturbation (large, several cm's) burrows",,,,356,U1463,D,41,F,2,A,,,
356-U1463D-41F-2-A,0,150,321.71,323.21,,,,,,,,,,,pyrite nodule,,,,,,,,,,356,U1463,D,41,F,2,A,,,
356-U1463D-41F-3-A,0,112,323.21,324.33,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,41,F,3,A,,,
356-U1463D-41F-4-A,0,58,324.33,324.91,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows.Sparse disseminated sand size shell fragments",,,,356,U1463,D,41,F,4,A,,,
356-U1463D-42F-1-A,0,150,324.9,326.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows.Sparse disseminated sand size shell fragments (one bialve) and one small benthic forams",,,,356,U1463,D,42,F,1,A,,,
356-U1463D-42F-2-A,0,150,326.4,327.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,,,"Unlithified, olive gray mudstone with moderate bioturbation and disseminated pyrite grains.",,,,356,U1463,D,42,F,2,A,,,
356-U1463D-42F-3-A,0,112,327.9,329.02,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Less sparse disseminated pyrite but mainly concentrated in burrows. Some burrows are light brown. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,42,F,3,A,,,
356-U1463D-42F-4-A,0,63,329.02,329.65,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,42,F,4,A,,,
356-U1463D-42F-CC-A,0,19,329.65,329.84,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light olive gray,,,,,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone.",,,,356,U1463,D,42,F,CC,A,,,
356-U1463D-43F-1-A,0,150,329.6,331.1,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Very sparse disseminated pyrite but mainly concentrated in burrows. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,43,F,1,A,,,
356-U1463D-43F-2-A,0,150,331.1,332.6,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite nodule,,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Very sparse disseminated pyrite mainly in burrows and pyrite nodules (few mm long) Sparse disseminated sand size shell fragments",,,,356,U1463,D,43,F,2,A,,,
356-U1463D-43F-2-A,0,150,331.1,332.6,,,,,,,,,,,pyrite (disseminated),,,,,,,,,,356,U1463,D,43,F,2,A,,,
356-U1463D-43F-3-A,0,112,332.6,333.72,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Moderate bioturbation. Sparse disseminated sand size shell fragments. The base of a sea urchin spine",,,,356,U1463,D,43,F,3,A,,,
356-U1463D-43F-4-A,0,62,333.72,334.34,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,43,F,4,A,,,
356-U1463D-43F-CC-A,0,16,334.34,334.5,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone.",,,,356,U1463,D,43,F,CC,A,,,
356-U1463D-44F-1-A,0,34,334.3,334.64,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. . Sparse disseminated sand size shell fragments",,,,356,U1463,D,44,F,1,A,,,
356-U1463D-44F-1-A,34,103,334.64,335.33,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,moderate [B06],3,gradational,sub-horizontal,"Unlithified, olive gray, homogeneous mudstone with fine sand size grains. In lenses and burrows. Sparse disseminated pyrite but mainly concentrated in burrows Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,44,F,1,A,,,
356-U1463D-44F-1-A,103,150,335.33,335.8,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows Sparse disseminated sand size shell fragments. Pyrite nodules",,,,356,U1463,D,44,F,1,A,,,
356-U1463D-44F-1-A,103,150,335.33,335.8,,,,,,,,,,,pyrite nodule,,,,,,,,,,356,U1463,D,44,F,1,A,,,
356-U1463D-44F-2-A,0,150,335.8,337.3,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Very sparse disseminated pyrite but mainly concentrated in burrows Sparse disseminated sand size shell fragments. From 117 cm to base of the Section more disseminated pyrite and one mm long pyrite nodule",,,,356,U1463,D,44,F,2,A,,,
356-U1463D-44F-2-A,0,150,335.8,337.3,,,,,,,,,,,pyrite nodule,,,,,,,,,,356,U1463,D,44,F,2,A,,,
356-U1463D-44F-3-A,0,111,337.3,338.41,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite nodule,,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated pyrite but mainly concentrated in burrows. Common pyrite nodules up to 2 cm long. Sparse disseminated sand size shell fragments",,,,356,U1463,D,44,F,3,A,,,
356-U1463D-44F-3-A,0,111,337.3,338.41,,,,,,,,,,,pyrite (disseminated),,,,,,,,,,356,U1463,D,44,F,3,A,,,
356-U1463D-44F-4-A,0,61,338.41,339.02,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,pyrite (disseminated),,slight [B06],2,,,"Unlithified, olive gray, homogeneous mudstone, Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,44,F,4,A,,,
356-U1463D-44F-CC-A,0,12,339.02,339.14,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,olive gray,,,,,,,,,"Unlithified, olive gray, homogeneous mudstone. Sparse disseminated sand size shell fragments and small benthic forams",,,,356,U1463,D,44,F,CC,A,,,
